sale_no,Address,CouncilArea,YearBuilt,BuildingArea,Car,Price,Date,Method,SellerG
142,158 Queen St,Hobsons Bay,2015.0,242.0,1.0,520000.0,3/09/2016,VB,Greg
143,59 Bracken Gr,Hobsons Bay,2005.0,268.0,3.0,1525000.0,3/12/2016,S,Greg
144,1/123 Blyth St,Hobsons Bay,2013.0,125.0,2.0,720000.0,4/02/2016,S,hockingstuart
145,4 Blyth St,Hobsons Bay,1930.0,120.0,2.0,1120000.0,4/03/2017,S,Barlow
146,20 Linnet St,Hobsons Bay,,,4.0,780000.0,4/06/2016,PI,Sweeney
147,29 Rose St,Hobsons Bay,1962.0,220.0,6.0,1780000.0,4/06/2016,SP,Greg
148,1/170 Blyth St,Hobsons Bay,1955.0,94.0,2.0,630000.0,6/08/2016,S,Barlow
149,5/35 Grieve Pde,Hobsons Bay,,,1.0,406000.0,6/08/2016,SP,hockingstuart
150,156 Maidstone St,Hobsons Bay,1955.0,123.0,1.0,660000.0,7/05/2016,VB,Greg
151,11 Keeshan Ct,Hobsons Bay,,,1.0,683500.0,7/11/2016,S,Greg
152,1/136 Queen St,Hobsons Bay,1988.0,93.0,1.0,580000.0,8/10/2016,S,Barlow
153,173 Queen St,Hobsons Bay,1953.0,22.0,4.0,1335000.0,8/10/2016,S,hockingstuart
154,1/265 Queen St,Hobsons Bay,1997.0,,2.0,800000.0,8/10/2016,SP,hockingstuart
155,3/26 Grieve Pde,Hobsons Bay,1990.0,76.0,1.0,510000.0,10/09/2016,S,Village
156,261 Queen St,Hobsons Bay,,,2.0,1070000.0,10/09/2016,S,Barlow
157,4/5 Rose St,Hobsons Bay,1980.0,57.0,2.0,425000.0,10/09/2016,S,hockingstuart
158,1/60 David St,Hobsons Bay,,,2.0,605000.0,10/12/2016,S,Jas
159,1A Merritt Ct,Hobsons Bay,,152.0,2.0,705000.0,11/02/2017,S,hockingstuart
160,4/31 Millers Rd,Hobsons Bay,1965.0,65.0,1.0,391000.0,11/02/2017,SP,Greg
161,111/112 Pier St,Hobsons Bay,,,1.0,440000.0,11/02/2017,SP,hockingstuart
162,24 Wren St,Hobsons Bay,1950.0,130.0,2.0,845000.0,11/02/2017,S,hockingstuart
163,1/152 Blyth St,Hobsons Bay,,176.0,2.0,743000.0,12/11/2016,SP,Gunn&Co
164,4/57 Blyth St,Hobsons Bay,2014.0,141.0,1.0,730000.0,13/08/2016,SP,Barlow
165,164 Maidstone St,Hobsons Bay,1960.0,,4.0,635000.0,14/05/2016,S,Sweeney
166,3/25 Rayner St,Hobsons Bay,,,1.0,620000.0,14/05/2016,SP,hockingstuart
167,3/46 Sargood St,Hobsons Bay,1990.0,77.0,1.0,447000.0,15/10/2016,S,Burnham
168,1/57 Blyth St,Hobsons Bay,,,1.0,730000.0,16/04/2016,SP,Barlow
169,22 Fenfield St,Hobsons Bay,1950.0,87.0,2.0,678000.0,16/04/2016,S,hockingstuart
170,5/8 David St,Hobsons Bay,2013.0,76.0,1.0,580000.0,16/07/2016,PI,Biggin
171,1/28 Seves St,Hobsons Bay,,,2.0,712000.0,17/09/2016,S,hockingstuart
172,27 McIntyre Dr,Hobsons Bay,1965.0,136.0,2.0,840000.0,18/03/2017,SP,Greg
173,4 Boyd St,Hobsons Bay,,,2.0,980000.0,19/11/2016,S,Barlow
174,12 Spear Ct,Hobsons Bay,,,0.0,605100.0,22/05/2016,S,hockingstuart
175,185 Queen St,Hobsons Bay,,,1.0,880000.0,22/08/2016,PI,Barlow
176,3/20 Mulga St,Hobsons Bay,2007.0,113.0,1.0,577000.0,23/04/2016,S,Williams
177,51 Millers Rd,Hobsons Bay,,,0.0,1030000.0,25/02/2017,S,Barlow
178,2/119 Railway St N,Hobsons Bay,,,2.0,605000.0,25/02/2017,S,Barlow
179,24 McIntyre Dr,Hobsons Bay,,,2.0,753000.0,27/06/2016,S,Barlow
180,104 Maidstone St,Hobsons Bay,1950.0,100.0,1.0,857000.0,27/11/2016,SP,hockingstuart
181,49 Bent St,Hobsons Bay,,,1.0,1500000.0,28/05/2016,S,Barlow
182,5/57 Blyth St,Hobsons Bay,2014.0,3.0,1.0,730000.0,28/05/2016,SP,Barlow
183,15 Kookaburra St,Hobsons Bay,,,4.0,900000.0,28/05/2016,S,Sweeney
184,219 Civic Pde,Hobsons Bay,,,2.0,740000.0,28/08/2016,S,Greg
185,3 Curtin Ct,Hobsons Bay,1970.0,,3.0,931000.0,28/08/2016,S,Sweeney
186,2/60 David St,Hobsons Bay,1996.0,91.0,1.0,535600.0,30/07/2016,SP,Compton
187,45 Hearn St,Hobsons Bay,1965.0,251.0,6.0,1085000.0,3/09/2016,S,FN
188,4 Knapp St,Hobsons Bay,1970.0,117.0,2.0,781000.0,3/09/2016,S,Jas
189,21 Hatherley Gr,Hobsons Bay,,,3.0,750000.0,4/03/2017,SP,Jas
190,3/66 Marion St,Hobsons Bay,2009.0,77.0,1.0,421000.0,4/03/2017,S,hockingstuart
191,153 Mills St,Hobsons Bay,,,3.0,1405000.0,4/03/2017,S,Sweeney
192,33 Carthy St,Hobsons Bay,1967.0,167.0,2.0,683000.0,4/06/2016,S,FN
193,16 Harris St,Hobsons Bay,,,3.0,623000.0,4/06/2016,S,Sweeney
194,1/5 Little St,Hobsons Bay,2012.0,130.0,1.0,720000.0,6/08/2016,VB,Greg
195,1/95 Mills St,Hobsons Bay,1970.0,118.0,1.0,588000.0,7/05/2016,S,Williams
196,5 Binns St,Hobsons Bay,1960.0,116.0,3.0,710000.0,7/11/2016,PI,Village
197,25 Allan St,Hobsons Bay,1965.0,169.0,4.0,875000.0,8/10/2016,SP,Jas
198,21 Hatherley Gr,Hobsons Bay,,,3.0,700000.0,10/12/2016,VB,Jas
199,1/256 Mason St,Hobsons Bay,1965.0,,1.0,640000.0,11/03/2017,S,Williams
200,21 Allan St,Hobsons Bay,,,4.0,650000.0,12/06/2016,SP,Williams
201,2/36 May St,Hobsons Bay,2012.0,109.0,2.0,675000.0,14/05/2016,S,hockingstuart
202,11 Beevers St,Hobsons Bay,1960.0,97.0,2.0,708000.0,15/10/2016,S,Greg
203,10 Murphy St,Hobsons Bay,,,4.0,965000.0,15/10/2016,SP,Gunn&Co
204,16 Beevers St,Hobsons Bay,,,3.0,680000.0,19/11/2016,S,Sweeney
205,21 Neal Ct,Hobsons Bay,,603.0,3.0,770000.0,19/11/2016,SP,hockingstuart
206,31 Duosa Rd,Hobsons Bay,,,2.0,923000.0,22/05/2016,S,Greg
207,252 Millers Rd,Hobsons Bay,2008.0,170.0,4.0,693000.0,22/05/2016,SP,Raine&Horne
208,1/156 Chambers Rd,Hobsons Bay,2010.0,100.0,2.0,620000.0,22/08/2016,SP,Hunter
209,2 Gadsden St,Hobsons Bay,1960.0,157.0,1.0,728500.0,22/08/2016,S,Jas
210,24 Hansen St,Hobsons Bay,1950.0,160.0,1.0,931000.0,22/08/2016,S,hockingstuart
211,4 Prismall St,Hobsons Bay,2008.0,,4.0,988000.0,22/08/2016,S,Sweeney
212,122 McIntosh Rd,Hobsons Bay,,,2.0,590000.0,23/04/2016,S,Village
213,35 May St,Hobsons Bay,,,2.0,610000.0,24/09/2016,S,RT
214,6 Hill St,Hobsons Bay,1960.0,130.0,3.0,815000.0,25/02/2017,S,hockingstuart
215,84 May St,Hobsons Bay,,,2.0,970000.0,25/02/2017,S,Greg
216,155 Chambers Rd,Hobsons Bay,,,3.0,760000.0,27/06/2016,S,Hunter
217,268d Mason St,Hobsons Bay,,,1.0,847500.0,27/06/2016,S,RT
218,5 Cresser St,Hobsons Bay,1960.0,158.0,4.0,1200000.0,27/11/2016,SP,RT
219,107 McIntosh Rd,Hobsons Bay,,,1.0,700000.0,27/11/2016,SP,Hunter
220,10 Knapp St,Hobsons Bay,,,1.0,625000.0,28/05/2016,PI,Hunter
221,4/221 Blackshaws Rd,Hobsons Bay,1970.0,70.0,1.0,292000.0,28/08/2016,S,Jas
222,8/19 Mercer Rd,Stonnington,1964.0,76.0,1.0,599000.0,3/09/2016,S,Jellis
223,1/42 Adelaide St,Stonnington,,,0.0,550000.0,3/12/2016,VB,Noel
224,14/71 Denbigh Rd,Stonnington,1998.0,100.0,2.0,995000.0,3/12/2016,S,Marshall
225,4/769 High St,Stonnington,2000.0,105.0,2.0,1205000.0,3/12/2016,S,Jellis
226,7 Llaneast St,Stonnington,1889.0,150.0,2.0,1939000.0,3/12/2016,S,Jellis
227,9/55 Northcote Rd,Stonnington,,,0.0,421500.0,3/12/2016,S,Biggin
228,28 Cambridge St,Stonnington,1888.0,116.0,1.0,1870000.0,4/03/2017,S,Hodges
229,3/16 Fulton St,Stonnington,,,2.0,678000.0,4/03/2017,S,hockingstuart
230,3/20 Mercer Rd,Stonnington,1995.0,165.0,2.0,1918000.0,4/03/2017,SP,Jellis
231,1/77 Wattletree Rd,Stonnington,,,1.0,660000.0,4/03/2017,SP,hockingstuart
232,12 Willis St,Stonnington,1910.0,116.0,1.0,2050000.0,4/03/2017,S,Marshall
233,8/71 Denbigh Rd,Stonnington,,,2.0,700000.0,4/06/2016,VB,Jellis
234,11/17 Myamyn St,Stonnington,2006.0,,2.0,3625000.0,4/06/2016,S,Jellis
235,526 Orrong Rd,Stonnington,1934.0,,2.0,3000000.0,4/06/2016,VB,Jellis
236,553 Dandenong Rd,Stonnington,,,2.0,1525000.0,7/05/2016,PI,Jellis
237,9/19 Mercer Rd,Stonnington,1970.0,14.0,1.0,735000.0,7/05/2016,PI,Marshall
238,6/26 Mercer Rd,Stonnington,,,1.0,825000.0,7/05/2016,S,Jellis
239,538a Orrong Rd,Stonnington,,,2.0,1586000.0,7/05/2016,S,RT
240,18/41 Kooyong Rd,Stonnington,1960.0,,1.0,645000.0,8/10/2016,S,Marshall
241,10 William St,Stonnington,1900.0,107.0,1.0,1435000.0,8/10/2016,SP,Jellis
242,15/405 Dandenong Rd,Stonnington,1975.0,38.0,1.0,280000.0,10/09/2016,PI,hockingstuart
243,1/2 Armadale St,Stonnington,,,1.0,400000.0,10/12/2016,PI,hockingstuart
244,4/20 Mercer Rd,Stonnington,,,2.0,1780000.0,10/12/2016,S,Marshall
245,8/58 Sutherland Rd,Stonnington,1970.0,73.0,1.0,592500.0,10/12/2016,S,hockingstuart
246,40 New St,Stonnington,1910.0,96.0,0.0,1210000.0,12/11/2016,S,Marshall
247,35 Northcote Rd,Stonnington,1900.0,222.0,2.0,2801000.0,12/11/2016,S,Marshall
248,7/53 Wattletree Rd,Stonnington,,,0.0,390000.0,14/05/2016,S,Jellis
249,791 High St,Stonnington,1910.0,121.0,2.0,1800000.0,15/10/2016,PI,RT
250,25 Llaneast St,Stonnington,1900.0,163.0,2.0,2200000.0,15/10/2016,PI,Jellis
251,8/569 Orrong Rd,Stonnington,,,1.0,324000.0,16/04/2016,S,Jellis
252,367 Dandenong Rd,Stonnington,1935.0,516.0,4.0,5525000.0,17/09/2016,S,Marshall
253,34a Rose St,Stonnington,,,2.0,1125000.0,17/09/2016,S,RT
254,42 Rose St,Stonnington,,,1.0,2250000.0,17/09/2016,S,Marshall
255,12 Auburn Gr,Stonnington,,,0.0,2360000.0,18/03/2017,S,hockingstuart
256,31 Hume St,Stonnington,,,0.0,1900000.0,18/03/2017,VB,Jellis
257,10/581 Orrong Rd,Stonnington,1970.0,53.0,1.0,440000.0,18/03/2017,SP,Jellis
258,7/579 Dandenong Rd,Stonnington,1966.0,,1.0,490000.0,18/06/2016,PI,Ray
259,19 Glassford St,Stonnington,,,1.0,2365000.0,18/06/2016,S,Marshall
260,14 New St,Stonnington,1900.0,106.0,2.0,1300000.0,18/06/2016,VB,Jellis
261,7/501 Orrong Rd,Stonnington,,,2.0,732000.0,18/06/2016,S,Gary
262,6/51 Armadale St,Stonnington,1969.0,74.0,1.0,704000.0,19/11/2016,SP,Greg
263,12/41 Kooyong Rd,Stonnington,1970.0,98.0,1.0,620000.0,19/11/2016,VB,Marshall
264,63 Denbigh Rd,Stonnington,1900.0,108.0,2.0,1900000.0,22/05/2016,S,Marshall
265,13/56 Sutherland Rd,Stonnington,,,1.0,315000.0,22/08/2016,SP,Fletchers
266,7/22 Derby St,Stonnington,,,1.0,450000.0,24/09/2016,PI,hockingstuart
267,10/51 Armadale St,Stonnington,1970.0,80.0,1.0,710000.0,25/02/2017,S,Jellis
268,2/377 Dandenong Rd,Stonnington,1953.0,,1.0,872000.0,25/02/2017,S,Jellis
269,1/14 Denbigh Rd,Stonnington,1970.0,88.0,1.0,598000.0,25/02/2017,S,hockingstuart
270,75 Sutherland Rd,Stonnington,1920.0,80.0,2.0,1285000.0,25/02/2017,S,Marshall
271,61 Union St,Stonnington,,,2.0,3660000.0,25/02/2017,S,Jellis
272,1/403 Dandenong Rd,Stonnington,1970.0,76.0,1.0,520000.0,27/06/2016,S,hockingstuart
273,44 Denbigh Rd,Stonnington,1900.0,251.0,2.0,3625000.0,27/11/2016,S,Jellis
274,44 Hampden Rd,Stonnington,2000.0,333.0,3.0,4200000.0,27/11/2016,VB,Kay
275,3/769 High St,Stonnington,2000.0,3.0,2.0,1101000.0,27/11/2016,S,Jellis
276,4 Mercer Rd,Stonnington,1998.0,285.0,2.0,3512500.0,27/11/2016,S,Marshall
277,17 Kooyong Rd,Stonnington,,,4.0,2000000.0,28/05/2016,PI,Marshall
278,1/31 Mercer Rd,Stonnington,1940.0,91.0,1.0,869000.0,28/05/2016,S,Jellis
279,16 Llaneast St,Stonnington,,,2.0,2810000.0,28/08/2016,S,Marshall
280,2/532 Orrong Rd,Stonnington,,,1.0,565000.0,28/08/2016,S,Ray
281,5/555 Orrong Rd,Stonnington,2013.0,53.0,1.0,567000.0,28/08/2016,S,hockingstuart
282,3/50 Denbigh Rd,Stonnington,,,0.0,546000.0,30/07/2016,SP,hockingstuart
283,7/844 Malvern Rd,Stonnington,1980.0,,1.0,471500.0,30/07/2016,S,Ray
284,2/43 Roxburgh St,Moonee Valley,,,2.0,455000.0,3/09/2016,S,Nelson
285,30 Rothwell St,Moonee Valley,1920.0,108.0,2.0,940000.0,3/12/2016,S,Nelson
286,9/5 Rothwell St,Moonee Valley,1980.0,62.0,1.0,467000.0,3/12/2016,SP,Brad
287,7 Francis St,Moonee Valley,1910.0,174.0,2.0,1380000.0,4/03/2017,SP,Nelson
288,2/21 Harold St,Moonee Valley,1970.0,62.0,1.0,490000.0,4/03/2017,VB,Jellis
