sale_no,Address,CouncilArea,Car,Price,Date,Method,SellerG,Suburb,Regionname,Postcode,Propertycount,Lattitude,Longtitude,Distance,Type,Rooms,Bedroom2,Bathroom,Landsize,YearBuilt,BuildingArea
49,2/252 Parer Rd,Moonee Valley,1,450000.0,7/05/2016,S,Barry,Airport West,Western Metropolitan,3042.0,3464,-37.7216,144.871,13.5,t,2,2,1,110.0,2015,90.0
50,3/19 Hart St,Moonee Valley,1,515000.0,7/11/2016,S,Barry,Airport West,Western Metropolitan,3042.0,3464,-37.7298,144.8883,13.5,u,2,2,1,141.0,2013,73.0
51,2/62 Clydesdale Rd,Moonee Valley,1,530000.0,10/09/2016,S,Nelson,Airport West,Western Metropolitan,3042.0,3464,-37.7234,144.8792,13.5,u,2,2,1,120.0,2012,94.0
52,3 Deidre Ct,Moonee Valley,6,895000.0,10/09/2016,PI,Rendina,Airport West,Western Metropolitan,3042.0,3464,-37.7249,144.8728,13.5,h,3,3,1,1063.0,1975,133.0
53,13 Etzel St,Moonee Valley,1,805000.0,10/12/2016,S,Nelson,Airport West,Western Metropolitan,3042.0,3464,-37.7217,144.8783,13.5,h,3,3,1,0.0,1950,105.0
54,1/43 Cameron St,Moonee Valley,1,752000.0,11/02/2017,S,Nelson,Airport West,Western Metropolitan,3042.0,3464,-37.7302,144.8855,13.5,u,3,3,1,265.0,1993,130.0
57,2/40 Earl St,Moonee Valley,2,700000.0,15/10/2016,PI,Brad,Airport West,Western Metropolitan,3042.0,3464,-37.727,144.887,13.5,t,3,3,2,165.0,2009,133.0
58,180 Parer Rd,Moonee Valley,2,830000.0,16/04/2016,S,Barry,Airport West,Western Metropolitan,3042.0,3464,-37.7186,144.876,13.5,h,3,3,1,971.0,1960,113.0
61,174 Parer Rd,Moonee Valley,1,675000.0,16/07/2016,S,Barry,Airport West,Western Metropolitan,3042.0,3464,-37.7187,144.8765,13.5,h,2,2,1,612.0,1975,100.0
62,138 Victory Rd,Moonee Valley,5,1042000.0,16/07/2016,S,Nelson,Airport West,Western Metropolitan,3042.0,3464,-37.7173,144.8796,13.5,h,3,3,2,612.0,1950,174.0
64,6 Kittyhawk St,Moonee Valley,4,773000.0,17/09/2016,S,Brad,Airport West,Western Metropolitan,3042.0,3464,-37.7263,144.8679,13.5,h,4,5,3,531.0,1980,309.0
65,478 Fullarton Rd,Moonee Valley,2,810000.0,18/03/2017,PI,Barry,Airport West,Western Metropolitan,3042.0,3464,-37.7285,144.8694,13.5,h,3,3,3,555.0,1980,192.0
66,144 Marshall Rd,Moonee Valley,2,715000.0,18/03/2017,S,Rendina,Airport West,Western Metropolitan,3042.0,3464,-37.7164,144.8792,13.5,h,3,3,2,422.0,1995,126.0
68,3/7 South Rd,Moonee Valley,1,540000.0,18/06/2016,SP,Nelson,Airport West,Western Metropolitan,3042.0,3464,-37.7231,144.8802,13.5,t,3,2,2,161.0,2010,101.0
69,37 North St,Moonee Valley,1,825000.0,19/11/2016,SP,Barry,Airport West,Western Metropolitan,3042.0,3464,-37.72,144.8776,13.5,t,3,3,2,293.0,1960,102.0
70,10 Hilbert Rd,Moonee Valley,1,685000.0,22/05/2016,S,Barry,Airport West,Western Metropolitan,3042.0,3464,-37.7226,144.8733,13.5,h,3,3,1,579.0,1975,113.0
78,85 Roberts Rd,Moonee Valley,3,900000.0,27/11/2016,S,Harcourts,Airport West,Western Metropolitan,3042.0,3464,-37.7256,144.8739,13.5,h,4,4,2,628.0,1975,146.0
79,105 Kerferd Rd,Port Phillip,0,1275000.0,3/09/2016,S,hockingstuart,Albert Park,Southern Metropolitan,3206.0,3280,-37.8459,144.9555,3.3,h,2,2,1,120.0,1900,82.0
81,112 Beaconsfield Pde,Port Phillip,0,2850000.0,4/03/2017,PI,Buxton,Albert Park,Southern Metropolitan,3206.0,3280,-37.8481,144.9499,3.3,h,3,3,2,211.0,1890,198.0
82,94 Graham St,Port Phillip,0,1850000.0,4/03/2017,S,Greg,Albert Park,Southern Metropolitan,3206.0,3280,-37.8452,144.9488,3.3,h,3,3,2,128.0,1890,133.0
83,396 Montague St,Port Phillip,0,1436000.0,4/03/2017,S,RT,Albert Park,Southern Metropolitan,3206.0,3280,-37.8431,144.9565,3.3,h,2,2,1,130.0,1900,81.0
86,104 Richardson St,Port Phillip,1,2300000.0,7/05/2016,S,Marshall,Albert Park,Southern Metropolitan,3206.0,3280,-37.8447,144.9523,3.3,h,4,4,2,153.0,1880,180.0
88,1 Moubray St,Port Phillip,1,1800000.0,7/11/2016,VB,Greg,Albert Park,Southern Metropolitan,3206.0,3280,-37.8415,144.952,3.3,h,3,3,2,132.0,1996,159.0
89,29 Faussett St,Port Phillip,1,2120000.0,10/09/2016,S,Greg,Albert Park,Southern Metropolitan,3206.0,3280,-37.8422,144.9554,3.3,h,2,2,1,199.0,1900,107.0
91,24 Kerferd Pl,Port Phillip,1,1800000.0,10/09/2016,S,Marshall,Albert Park,Southern Metropolitan,3206.0,3280,-37.8421,144.9571,3.3,h,3,3,2,90.0,1900,122.0
93,2 Dundas Pl,Port Phillip,1,2615000.0,10/12/2016,S,Cayzer,Albert Park,Southern Metropolitan,3206.0,3280,-37.8415,144.9585,3.3,h,3,3,2,177.0,1880,181.0
96,4a Gatehouse La,Port Phillip,2,1370000.0,12/06/2016,S,Greg,Albert Park,Southern Metropolitan,3206.0,3280,-37.8451,144.9511,3.3,h,3,3,2,0.0,2000,85.0
99,65 Graham St,Port Phillip,0,1322500.0,15/10/2016,S,Greg,Albert Park,Southern Metropolitan,3206.0,3280,-37.8443,144.9481,3.3,h,2,2,1,149.0,1890,98.0
100,364 Montague St,Port Phillip,0,1562500.0,15/10/2016,S,Greg,Albert Park,Southern Metropolitan,3206.0,3280,-37.8424,144.9562,3.3,h,2,2,1,141.0,1890,83.0
101,86 Mills St,Port Phillip,1,2000000.0,16/04/2016,VB,RT,Albert Park,Southern Metropolitan,3206.0,3280,-37.847,144.9575,3.3,h,3,3,2,211.0,1900,147.0
103,97 Page St,Port Phillip,0,3010000.0,18/03/2017,S,Greg,Albert Park,Southern Metropolitan,3206.0,3280,-37.8473,144.9551,3.3,h,3,3,2,147.0,1890,146.0
104,55 Withers St,Port Phillip,1,2800000.0,18/06/2016,VB,Cayzer,Albert Park,Southern Metropolitan,3206.0,3280,-37.8467,144.9475,3.3,h,4,4,3,327.0,1910,254.0
106,55 Merton St,Port Phillip,1,2100000.0,23/04/2016,SP,Marshall,Albert Park,Southern Metropolitan,3206.0,3280,-37.8427,144.9546,3.3,h,3,2,1,120.0,1900,123.0
107,49 Page St,Port Phillip,1,2000000.0,24/09/2016,PI,Marshall,Albert Park,Southern Metropolitan,3206.0,3280,-37.8461,144.9528,3.3,h,3,3,1,238.0,1890,131.0
108,13/52 Moubray St,Port Phillip,0,442500.0,25/02/2017,S,Marshall,Albert Park,Southern Metropolitan,3206.0,3280,-37.8421,144.9517,3.3,u,1,1,1,0.0,1970,34.0
109,115 Page St,Port Phillip,1,4735000.0,25/02/2017,S,Marshall,Albert Park,Southern Metropolitan,3206.0,3280,-37.8477,144.9558,3.3,h,4,4,2,330.0,1910,207.0
114,27 Barrett St,Port Phillip,1,2140000.0,27/06/2016,S,Greg,Albert Park,Southern Metropolitan,3206.0,3280,-37.8434,144.9495,3.3,h,4,3,2,183.0,1880,145.0
116,6 Brooke St,Port Phillip,0,980000.0,28/05/2016,S,Greg,Albert Park,Southern Metropolitan,3206.0,3280,-37.8387,144.9519,3.3,h,2,2,1,79.0,1890,68.0
116,6 Brooke St,Port Phillip,0,980000.0,28/05/2016,S,Greg,Northcote,Northern Metropolitan,3070.0,11364,-37.7765,145.0027,5.5,h,3,3,1,472.0,1890,68.0
118,17 Reed St,Port Phillip,2,1740000.0,28/08/2016,PI,Marshall,Albert Park,Southern Metropolitan,3206.0,3280,-37.8448,144.9453,3.3,h,3,3,2,147.0,1890,134.0
120,9 Durham St,Port Phillip,0,985000.0,30/07/2016,S,Marshall,Albert Park,Southern Metropolitan,3206.0,3280,-37.8411,144.9497,3.3,h,1,1,1,81.0,1900,54.0
121,6 Smith St,Darebin,4,2000000.0,3/09/2016,S,Brace,Alphington,Northern Metropolitan,3078.0,2211,-37.7707,145.0318,6.4,h,4,3,2,853.0,1930,263.0
124,44 Shiers St,Darebin,1,1717500.0,8/10/2016,S,Collins,Alphington,Northern Metropolitan,3078.0,2211,-37.7717,145.031,6.4,h,4,4,2,599.0,1925,203.0
125,83 Fulham Rd,Darebin,4,2840000.0,12/06/2016,S,Nelson,Alphington,Northern Metropolitan,3078.0,2211,-37.775,145.0268,6.4,h,5,5,4,809.0,1910,165.0
126,3/19 Harker St,Darebin,1,525500.0,12/11/2016,S,Miles,Alphington,Northern Metropolitan,3078.0,2211,-37.7791,145.0306,6.4,u,2,2,1,88.0,1960,60.0
127,4/2 Miller St,Darebin,3,805000.0,12/11/2016,S,Miles,Alphington,Northern Metropolitan,3078.0,2211,-37.7804,145.0308,6.4,t,2,2,2,155.0,2004,140.0
132,10 Bennett St,Darebin,2,1830000.0,19/11/2016,S,Nelson,Alphington,Northern Metropolitan,3078.0,2211,-37.7743,145.0316,6.4,h,4,4,2,606.0,1970,112.0
133,38 Bennett St,Darebin,2,2100000.0,19/11/2016,S,Nelson,Alphington,Northern Metropolitan,3078.0,2211,-37.7723,145.0319,6.4,h,4,4,2,575.0,2008,271.0
134,2c Hamilton St,Darebin,1,865000.0,22/05/2016,SP,hockingstuart,Alphington,Northern Metropolitan,3078.0,2211,-37.7802,145.0243,6.4,h,3,3,1,180.0,2010,131.0
135,5/5 Yarana Rd,Darebin,1,390000.0,22/05/2016,VB,Nelson,Alphington,Northern Metropolitan,3078.0,2211,-37.7773,145.0314,6.4,u,2,2,1,0.0,1960,60.0
137,1/14 Fulham Rd,Darebin,1,512000.0,25/02/2017,S,Love,Alphington,Northern Metropolitan,3078.0,2211,-37.7805,145.0262,6.4,u,2,2,1,0.0,1965,61.0
139,11 Margaret Gr,Yarra,2,1900000.0,27/11/2016,SP,McGrath,Alphington,Northern Metropolitan,3078.0,2211,-37.7844,145.0225,6.4,h,4,4,2,556.0,1930,272.0
141,42 Shiers St,Darebin,3,1950000.0,30/07/2016,S,Jellis,Alphington,Northern Metropolitan,3078.0,2211,-37.7719,145.0309,6.4,h,4,4,2,589.0,1920,210.0
142,158 Queen St,Hobsons Bay,1,520000.0,3/09/2016,VB,Greg,Altona,Western Metropolitan,3018.0,5301,-37.87,144.825,13.8,h,3,3,2,352.0,2015,242.0
143,59 Bracken Gr,Hobsons Bay,3,1525000.0,3/12/2016,S,Greg,Altona,Western Metropolitan,3018.0,5301,-37.8721,144.8105,13.8,h,5,5,3,729.0,2005,268.0
144,1/123 Blyth St,Hobsons Bay,2,720000.0,4/02/2016,S,hockingstuart,Altona,Western Metropolitan,3018.0,5301,-37.8687,144.8197,13.8,t,2,2,1,292.0,2013,125.0
145,4 Blyth St,Hobsons Bay,2,1120000.0,4/03/2017,S,Barlow,Altona,Western Metropolitan,3018.0,5301,-37.8693,144.8375,13.8,h,3,3,1,506.0,1930,120.0
147,29 Rose St,Hobsons Bay,6,1780000.0,4/06/2016,SP,Greg,Altona,Western Metropolitan,3018.0,5301,-37.8681,144.819,13.8,h,4,4,3,1057.0,1962,220.0
148,1/170 Blyth St,Hobsons Bay,2,630000.0,6/08/2016,S,Barlow,Altona,Western Metropolitan,3018.0,5301,-37.8702,144.8143,13.8,u,3,2,1,311.0,1955,94.0
150,156 Maidstone St,Hobsons Bay,1,660000.0,7/05/2016,VB,Greg,Altona,Western Metropolitan,3018.0,5301,-37.8616,144.8116,13.8,h,3,3,1,602.0,1955,123.0
152,1/136 Queen St,Hobsons Bay,1,580000.0,8/10/2016,S,Barlow,Altona,Western Metropolitan,3018.0,5301,-37.8696,144.827,13.8,u,2,2,1,225.0,1988,93.0
153,173 Queen St,Hobsons Bay,4,1335000.0,8/10/2016,S,hockingstuart,Altona,Western Metropolitan,3018.0,5301,-37.8697,144.8249,13.8,h,3,3,1,777.0,1953,22.0
155,3/26 Grieve Pde,Hobsons Bay,1,510000.0,10/09/2016,S,Village,Altona,Western Metropolitan,3018.0,5301,-37.8686,144.8182,13.8,u,2,2,1,127.0,1990,76.0
157,4/5 Rose St,Hobsons Bay,2,425000.0,10/09/2016,S,hockingstuart,Altona,Western Metropolitan,3018.0,5301,-37.871,144.8185,13.8,u,2,2,1,115.0,1980,57.0
160,4/31 Millers Rd,Hobsons Bay,1,391000.0,11/02/2017,SP,Greg,Altona,Western Metropolitan,3018.0,5301,-37.8678,144.8384,13.8,u,2,2,1,0.0,1965,65.0
162,24 Wren St,Hobsons Bay,2,845000.0,11/02/2017,S,hockingstuart,Altona,Western Metropolitan,3018.0,5301,-37.8658,144.8155,13.8,h,4,4,1,745.0,1950,130.0
164,4/57 Blyth St,Hobsons Bay,1,730000.0,13/08/2016,SP,Barlow,Altona,Western Metropolitan,3018.0,5301,-37.868,144.8286,13.8,u,3,3,2,69.0,2014,141.0
167,3/46 Sargood St,Hobsons Bay,1,447000.0,15/10/2016,S,Burnham,Altona,Western Metropolitan,3018.0,5301,-37.8655,144.8299,13.8,u,2,2,1,137.0,1990,77.0
169,22 Fenfield St,Hobsons Bay,2,678000.0,16/04/2016,S,hockingstuart,Altona,Western Metropolitan,3018.0,5301,-37.8608,144.8124,13.8,h,3,3,1,606.0,1950,87.0
170,5/8 David St,Hobsons Bay,1,580000.0,16/07/2016,PI,Biggin,Altona,Western Metropolitan,3018.0,5301,-37.8687,144.8268,13.8,u,2,2,2,175.0,2013,76.0
172,27 McIntyre Dr,Hobsons Bay,2,840000.0,18/03/2017,SP,Greg,Altona,Western Metropolitan,3018.0,5301,-37.86,144.8245,13.8,h,3,3,2,534.0,1965,136.0
176,3/20 Mulga St,Hobsons Bay,1,577000.0,23/04/2016,S,Williams,Altona,Western Metropolitan,3018.0,5301,-37.8684,144.815,13.8,u,3,3,2,205.0,2007,113.0
180,104 Maidstone St,Hobsons Bay,1,857000.0,27/11/2016,SP,hockingstuart,Altona,Western Metropolitan,3018.0,5301,-37.8653,144.8129,13.8,h,2,2,2,675.0,1950,100.0
182,5/57 Blyth St,Hobsons Bay,1,730000.0,28/05/2016,SP,Barlow,Altona,Western Metropolitan,3018.0,5301,-37.868,144.8285,13.8,u,3,3,2,70.0,2014,3.0
186,2/60 David St,Hobsons Bay,1,535600.0,30/07/2016,SP,Compton,Altona,Western Metropolitan,3018.0,5301,-37.8646,144.8272,13.8,h,2,2,1,154.0,1996,91.0
187,45 Hearn St,Hobsons Bay,6,1085000.0,3/09/2016,S,FN,Altona North,Western Metropolitan,3025.0,5132,-37.8388,144.8567,11.1,h,5,5,3,592.0,1965,251.0
188,4 Knapp St,Hobsons Bay,2,781000.0,3/09/2016,S,Jas,Altona North,Western Metropolitan,3025.0,5132,-37.8291,144.835,11.1,h,3,3,1,533.0,1970,117.0
190,3/66 Marion St,Hobsons Bay,1,421000.0,4/03/2017,S,hockingstuart,Altona North,Western Metropolitan,3025.0,5132,-37.8351,144.8529,11.1,t,2,2,1,77.0,2009,77.0
192,33 Carthy St,Hobsons Bay,2,683000.0,4/06/2016,S,FN,Altona North,Western Metropolitan,3025.0,5132,-37.8284,144.8355,11.1,h,3,3,1,534.0,1967,167.0
194,1/5 Little St,Hobsons Bay,1,720000.0,6/08/2016,VB,Greg,Altona North,Western Metropolitan,3025.0,5132,-37.8379,144.8583,11.1,h,3,3,2,0.0,2012,130.0
195,1/95 Mills St,Hobsons Bay,1,588000.0,7/05/2016,S,Williams,Altona North,Western Metropolitan,3025.0,5132,-37.838,144.8555,11.1,h,3,3,1,328.0,1970,118.0
196,5 Binns St,Hobsons Bay,3,710000.0,7/11/2016,PI,Village,Altona North,Western Metropolitan,3025.0,5132,-37.8294,144.8378,11.1,h,3,3,1,540.0,1960,116.0
197,25 Allan St,Hobsons Bay,4,875000.0,8/10/2016,SP,Jas,Altona North,Western Metropolitan,3025.0,5132,-37.8448,144.8529,11.1,h,4,3,1,559.0,1965,169.0
201,2/36 May St,Hobsons Bay,2,675000.0,14/05/2016,S,hockingstuart,Altona North,Western Metropolitan,3025.0,5132,-37.8337,144.8554,11.1,h,3,3,2,171.0,2012,109.0
202,11 Beevers St,Hobsons Bay,2,708000.0,15/10/2016,S,Greg,Altona North,Western Metropolitan,3025.0,5132,-37.8258,144.8523,11.1,h,3,3,1,585.0,1960,97.0
207,252 Millers Rd,Hobsons Bay,4,693000.0,22/05/2016,SP,Raine&Horne,Altona North,Western Metropolitan,3025.0,5132,-37.8391,144.8467,11.1,h,4,4,2,315.0,2008,170.0
208,1/156 Chambers Rd,Hobsons Bay,2,620000.0,22/08/2016,SP,Hunter,Altona North,Western Metropolitan,3025.0,5132,-37.8262,144.8443,11.1,h,3,5,2,276.0,2010,100.0
209,2 Gadsden St,Hobsons Bay,1,728500.0,22/08/2016,S,Jas,Altona North,Western Metropolitan,3025.0,5132,-37.8277,144.8385,11.1,h,3,3,1,531.0,1960,157.0
210,24 Hansen St,Hobsons Bay,1,931000.0,22/08/2016,S,hockingstuart,Altona North,Western Metropolitan,3025.0,5132,-37.8382,144.8649,11.1,h,3,3,2,590.0,1950,160.0
214,6 Hill St,Hobsons Bay,3,815000.0,25/02/2017,S,hockingstuart,Altona North,Western Metropolitan,3025.0,5132,-37.8318,144.8388,11.1,h,3,3,2,555.0,1960,130.0
218,5 Cresser St,Hobsons Bay,4,1200000.0,27/11/2016,SP,RT,Altona North,Western Metropolitan,3025.0,5132,-37.8375,144.8541,11.1,h,4,4,1,633.0,1960,158.0
221,4/221 Blackshaws Rd,Hobsons Bay,1,292000.0,28/08/2016,S,Jas,Altona North,Western Metropolitan,3025.0,5132,-37.8332,144.8649,11.1,u,2,2,1,153.0,1970,70.0
222,8/19 Mercer Rd,Stonnington,1,599000.0,3/09/2016,S,Jellis,Armadale,Southern Metropolitan,3143.0,4836,-37.8543,145.0262,6.3,u,2,2,1,0.0,1964,76.0
224,14/71 Denbigh Rd,Stonnington,2,995000.0,3/12/2016,S,Marshall,Armadale,Southern Metropolitan,3143.0,4836,-37.8552,145.016,6.3,u,3,3,2,0.0,1998,100.0
225,4/769 High St,Stonnington,2,1205000.0,3/12/2016,S,Jellis,Armadale,Southern Metropolitan,3143.0,4836,-37.854,145.0135,6.3,t,3,3,2,101.0,2000,105.0
226,7 Llaneast St,Stonnington,2,1939000.0,3/12/2016,S,Jellis,Armadale,Southern Metropolitan,3143.0,4836,-37.8614,145.0274,6.3,h,3,3,2,296.0,1889,150.0
228,28 Cambridge St,Stonnington,1,1870000.0,4/03/2017,S,Hodges,Armadale,Southern Metropolitan,3143.0,4836,-37.8592,145.0182,6.3,h,3,3,1,217.0,1888,116.0
230,3/20 Mercer Rd,Stonnington,2,1918000.0,4/03/2017,SP,Jellis,Armadale,Southern Metropolitan,3143.0,4836,-37.8537,145.0267,6.3,t,3,3,2,0.0,1995,165.0
232,12 Willis St,Stonnington,1,2050000.0,4/03/2017,S,Marshall,Armadale,Southern Metropolitan,3143.0,4836,-37.8574,145.0281,6.3,h,3,3,2,205.0,1910,116.0
237,9/19 Mercer Rd,Stonnington,1,735000.0,7/05/2016,PI,Marshall,Armadale,Southern Metropolitan,3143.0,4836,-37.8543,145.0262,6.3,u,3,3,2,2113.0,1970,14.0
241,10 William St,Stonnington,1,1435000.0,8/10/2016,SP,Jellis,Armadale,Southern Metropolitan,3143.0,4836,-37.8564,145.0228,6.3,h,1,2,2,144.0,1900,107.0
242,15/405 Dandenong Rd,Stonnington,1,280000.0,10/09/2016,PI,hockingstuart,Armadale,Southern Metropolitan,3143.0,4836,-37.8619,145.0185,6.3,u,1,1,1,0.0,1975,38.0
245,8/58 Sutherland Rd,Stonnington,1,592500.0,10/12/2016,S,hockingstuart,Armadale,Southern Metropolitan,3143.0,4836,-37.8574,145.0174,6.3,u,2,2,1,0.0,1970,73.0
246,40 New St,Stonnington,0,1210000.0,12/11/2016,S,Marshall,Armadale,Southern Metropolitan,3143.0,4836,-37.8543,145.016,6.3,h,2,2,1,249.0,1910,96.0
247,35 Northcote Rd,Stonnington,2,2801000.0,12/11/2016,S,Marshall,Armadale,Southern Metropolitan,3143.0,4836,-37.8536,145.0173,6.3,h,4,4,2,624.0,1900,222.0
249,791 High St,Stonnington,2,1800000.0,15/10/2016,PI,RT,Armadale,Southern Metropolitan,3143.0,4836,-37.8545,145.0145,6.3,h,3,3,2,405.0,1910,121.0
250,25 Llaneast St,Stonnington,2,2200000.0,15/10/2016,PI,Jellis,Armadale,Southern Metropolitan,3143.0,4836,-37.8613,145.0264,6.3,h,4,4,1,495.0,1900,163.0
252,367 Dandenong Rd,Stonnington,4,5525000.0,17/09/2016,S,Marshall,Armadale,Southern Metropolitan,3143.0,4836,-37.8602,145.013,6.3,h,6,5,3,1491.0,1935,516.0
257,10/581 Orrong Rd,Stonnington,1,440000.0,18/03/2017,SP,Jellis,Armadale,Southern Metropolitan,3143.0,4836,-37.8531,145.0115,6.3,u,1,1,1,0.0,1970,53.0
