Suburb,Address,Lattitude,Longtitude,Distance,Type,Rooms,Bedroom2,Bathroom,Landsize
Abbotsford,200 Nicholson St,-37.8021,144.9976,2.5,h,2,2.0,1.0,182.0
Abbotsford,27 Charles St,-37.8086,144.9946,2.5,h,2,2.0,1.0,172.0
Airport West,154 Halsey Rd,-37.718,144.878,13.5,t,3,3.0,2.0,303.0
Airport West,50 Bedford St,-37.7203,144.8755,13.5,h,3,3.0,2.0,0.0
Airport West,23 Hart St,-37.7294,144.888,13.5,h,2,2.0,1.0,272.0
Airport West,1/80 Hawker St,-37.7218,144.8837,13.5,t,3,3.0,2.0,239.0
Airport West,1/37 Hillside Gr,-37.7273,144.8744,13.5,h,3,2.0,1.0,290.0
Airport West,2/49 McIntosh St,-37.7215,144.8864,13.5,u,2,2.0,1.0,168.0
Airport West,54 Marshall Rd,-37.7173,144.8872,13.5,h,3,2.0,1.0,620.0
Airport West,36 Roberts Rd,-37.7259,144.8792,13.5,h,4,3.0,1.0,597.0
Airport West,11 Harrington Rd,-37.7239,144.8735,13.5,h,6,6.0,3.0,976.0
Airport West,2/252 Parer Rd,-37.7216,144.871,13.5,t,2,2.0,1.0,110.0
Airport West,3/19 Hart St,-37.7298,144.8883,13.5,u,2,2.0,1.0,141.0
Airport West,2/62 Clydesdale Rd,-37.7234,144.8792,13.5,u,2,2.0,1.0,120.0
Airport West,3 Deidre Ct,-37.7249,144.8728,13.5,h,3,3.0,1.0,1063.0
Airport West,13 Etzel St,-37.7217,144.8783,13.5,h,3,3.0,1.0,0.0
Airport West,1/43 Cameron St,-37.7302,144.8855,13.5,u,3,3.0,1.0,265.0
Airport West,145a Victory Rd,-37.7177,144.8787,13.5,u,2,2.0,1.0,192.0
Airport West,241 Parer Rd,-37.7248,144.8699,13.5,h,5,3.0,2.0,596.0
Airport West,2/40 Earl St,-37.727,144.887,13.5,t,3,3.0,2.0,165.0
Airport West,180 Parer Rd,-37.7186,144.876,13.5,h,3,3.0,1.0,971.0
Airport West,4/54 Hawker St,-37.7218,144.8863,13.5,u,2,2.0,1.0,164.0
Airport West,43 Hillside Gr,-37.7269,144.8742,13.5,h,3,3.0,2.0,657.0
Airport West,174 Parer Rd,-37.7187,144.8765,13.5,h,2,2.0,1.0,612.0
Airport West,138 Victory Rd,-37.7173,144.8796,13.5,h,3,3.0,2.0,612.0
Airport West,75 King St,-37.7231,144.8835,13.5,h,3,3.0,1.0,775.0
Airport West,6 Kittyhawk St,-37.7263,144.8679,13.5,h,4,5.0,3.0,531.0
Airport West,478 Fullarton Rd,-37.7285,144.8694,13.5,h,3,3.0,3.0,555.0
Airport West,144 Marshall Rd,-37.7164,144.8792,13.5,h,3,3.0,2.0,422.0
Airport West,106 Parer Rd,-37.7194,144.8827,13.5,h,3,3.0,1.0,614.0
Airport West,3/7 South Rd,-37.7231,144.8802,13.5,t,3,2.0,2.0,161.0
Airport West,37 North St,-37.72,144.8776,13.5,t,3,3.0,2.0,293.0
Airport West,10 Hilbert Rd,-37.7226,144.8733,13.5,h,3,3.0,1.0,579.0
Airport West,110 Halsey Rd,-37.7184,144.882,13.5,h,3,3.0,1.0,623.0
Airport West,2/13 North St,-37.7202,144.8797,13.5,u,2,2.0,1.0,141.0
Airport West,105a Victory Rd,-37.7181,144.8824,13.5,h,3,3.0,2.0,212.0
Airport West,117 Marshall Rd,-37.7169,144.8815,13.5,h,3,3.0,1.0,612.0
Airport West,34 Moorna Dr,-37.7263,144.869,13.5,h,4,4.0,3.0,532.0
Airport West,33 North St,-37.72,144.878,13.5,h,3,3.0,1.0,585.0
Airport West,49 Roberts Rd,-37.7261,144.8785,13.5,h,4,4.0,1.0,509.0
Airport West,85 Roberts Rd,-37.7256,144.8739,13.5,h,4,4.0,2.0,628.0
Albert Park,105 Kerferd Rd,-37.8459,144.9555,3.3,h,2,2.0,1.0,120.0
Albert Park,85 Richardson St,-37.845,144.9538,3.3,h,2,2.0,1.0,159.0
Albert Park,112 Beaconsfield Pde,-37.8481,144.9499,3.3,h,3,3.0,2.0,211.0
Albert Park,94 Graham St,-37.8452,144.9488,3.3,h,3,3.0,2.0,128.0
Albert Park,396 Montague St,-37.8431,144.9565,3.3,h,2,2.0,1.0,130.0
Albert Park,75 Graham St,-37.8444,144.9484,3.3,h,2,1.0,1.0,147.0
Albert Park,54 Brooke St,-37.8405,144.9521,3.3,h,2,2.0,1.0,167.0
Albert Park,104 Richardson St,-37.8447,144.9523,3.3,h,4,4.0,2.0,153.0
Albert Park,4a Mills St,-37.8443,144.9598,3.3,t,3,3.0,2.0,718.0
Albert Park,1 Moubray St,-37.8415,144.952,3.3,h,3,3.0,2.0,132.0
Albert Park,29 Faussett St,-37.8422,144.9554,3.3,h,2,2.0,1.0,199.0
Albert Park,3 Herbert St,-37.8443,144.9579,3.3,h,3,3.0,1.0,253.0
Albert Park,24 Kerferd Pl,-37.8421,144.9571,3.3,h,3,3.0,2.0,90.0
Albert Park,44 Draper St,-37.8379,144.9539,3.3,h,2,2.0,1.0,240.0
Albert Park,2 Dundas Pl,-37.8415,144.9585,3.3,h,3,3.0,2.0,177.0
Albert Park,23 Finlay St,-37.8436,144.9557,3.3,h,5,5.0,2.0,237.0
Albert Park,31 Richardson St,-37.8422,144.94899999999996,3.3,h,3,3.0,1.0,129.0
Albert Park,4a Gatehouse La,-37.8451,144.9511,3.3,h,3,3.0,2.0,0.0
Albert Park,60 Brooke St,-37.8407,144.9523,3.3,h,2,2.0,1.0,288.0
Albert Park,70 Barrett St,-37.8445,144.9501,3.3,h,3,3.0,2.0,228.0
Albert Park,65 Graham St,-37.8443,144.9481,3.3,h,2,2.0,1.0,149.0
Albert Park,364 Montague St,-37.8424,144.9562,3.3,h,2,2.0,1.0,141.0
Albert Park,86 Mills St,-37.847,144.9575,3.3,h,3,3.0,2.0,211.0
Albert Park,129 Kerferd Rd,-37.8468,144.9546,3.3,h,3,3.0,1.0,209.0
Albert Park,97 Page St,-37.8473,144.9551,3.3,h,3,3.0,2.0,147.0
Albert Park,55 Withers St,-37.8467,144.9475,3.3,h,4,4.0,3.0,327.0
Albert Park,10/140 Kerferd Rd,-37.846,144.9542,3.3,u,2,2.0,1.0,0.0
Albert Park,55 Merton St,-37.8427,144.9546,3.3,h,3,2.0,1.0,120.0
Albert Park,49 Page St,-37.8461,144.9528,3.3,h,3,3.0,1.0,238.0
Albert Park,13/52 Moubray St,-37.8421,144.9517,3.3,u,1,1.0,1.0,0.0
Albert Park,115 Page St,-37.8477,144.9558,3.3,h,4,4.0,2.0,330.0
Albert Park,32 Page St,-37.846,144.9517,3.3,h,2,2.0,1.0,136.0
Albert Park,34 Richardson St,-37.8429,144.9493,3.3,h,3,3.0,1.0,202.0
Albert Park,2b Dundas Pl,-37.8415,144.9585,3.3,h,3,3.0,3.0,0.0
Albert Park,22 Greig St,-37.8413,144.95,3.3,h,3,3.0,2.0,325.0
Albert Park,27 Barrett St,-37.8434,144.9495,3.3,h,4,3.0,2.0,183.0
Albert Park,44 Greig St,-37.8416,144.9488,3.3,h,2,2.0,1.0,162.0
Albert Park,6 Brooke St,-37.8387,144.9519,3.3,h,2,2.0,1.0,79.0
Albert Park,227a Danks St,-37.8488,144.9551,3.3,h,3,3.0,2.0,152.0
Albert Park,17 Reed St,-37.8448,144.9453,3.3,h,3,3.0,2.0,147.0
Albert Park,74 Bridport St,-37.8399,144.9577,3.3,h,3,3.0,3.0,0.0
Albert Park,9 Durham St,-37.8411,144.9497,3.3,h,1,1.0,1.0,81.0
Alphington,6 Smith St,-37.7707,145.0318,6.4,h,4,3.0,2.0,853.0
Alphington,5/6 Yarralea St,-37.7854,145.0325,6.4,h,3,3.0,2.0,208.0
Alphington,136A Fulham Rd,-37.7713,145.0279,6.4,h,3,3.0,2.0,411.0
Alphington,44 Shiers St,-37.7717,145.031,6.4,h,4,4.0,2.0,599.0
Alphington,83 Fulham Rd,-37.775,145.0268,6.4,h,5,5.0,4.0,809.0
Alphington,3/19 Harker St,-37.7791,145.0306,6.4,u,2,2.0,1.0,88.0
Alphington,4/2 Miller St,-37.7804,145.0308,6.4,t,2,2.0,2.0,155.0
Alphington,2/5 Yarana Rd,-37.7773,145.0314,6.4,u,2,2.0,1.0,0.0
Alphington,815 Heidelberg Rd,-37.78,145.0341,6.4,h,3,3.0,3.0,686.0
Alphington,44 Naroon Rd,-37.7755,145.0288,6.4,h,3,3.0,1.0,592.0
Alphington,3/98 Grange Rd,-37.7747,145.0264,6.4,u,2,2.0,1.0,183.0
Alphington,10 Bennett St,-37.7743,145.0316,6.4,h,4,4.0,2.0,606.0
Alphington,38 Bennett St,-37.7723,145.0319,6.4,h,4,4.0,2.0,575.0
Alphington,2c Hamilton St,-37.7802,145.0243,6.4,h,3,3.0,1.0,180.0
Alphington,5/5 Yarana Rd,-37.7773,145.0314,6.4,u,2,2.0,1.0,0.0
Alphington,7/7 Chandler Hwy,-37.7848,145.025,6.4,t,2,0.0,1.0,0.0
Alphington,1/14 Fulham Rd,-37.7805,145.0262,6.4,u,2,2.0,1.0,0.0
Alphington,22 Lowther St,-37.7792,145.029,6.4,h,3,3.0,1.0,979.0
Alphington,11 Margaret Gr,-37.7844,145.0225,6.4,h,4,4.0,2.0,556.0
Alphington,6 Naroon Rd,-37.7781,145.0284,6.4,h,3,3.0,0.0,597.0
Alphington,42 Shiers St,-37.7719,145.0309,6.4,h,4,4.0,2.0,589.0
Altona,158 Queen St,-37.87,144.825,13.8,h,3,3.0,2.0,352.0
Altona,59 Bracken Gr,-37.8721,144.8105,13.8,h,5,5.0,3.0,729.0
Altona,1/123 Blyth St,-37.8687,144.8197,13.8,t,2,2.0,1.0,292.0
Altona,4 Blyth St,-37.8693,144.8375,13.8,h,3,3.0,1.0,506.0
Altona,20 Linnet St,-37.868,144.8154,13.8,h,4,4.0,1.0,655.0
Altona,29 Rose St,-37.8681,144.819,13.8,h,4,4.0,3.0,1057.0
Altona,1/170 Blyth St,-37.8702,144.8143,13.8,u,3,2.0,1.0,311.0
Altona,5/35 Grieve Pde,-37.8693,144.8171,13.8,u,2,2.0,1.0,65.0
Altona,156 Maidstone St,-37.8616,144.8116,13.8,h,3,3.0,1.0,602.0
Altona,11 Keeshan Ct,-37.8594,144.817,13.8,h,3,3.0,1.0,530.0
Altona,1/136 Queen St,-37.8696,144.827,13.8,u,2,2.0,1.0,225.0
Altona,173 Queen St,-37.8697,144.8249,13.8,h,3,3.0,1.0,777.0
Altona,1/265 Queen St,-37.8734,144.8143,13.8,t,3,3.0,2.0,280.0
Altona,3/26 Grieve Pde,-37.8686,144.8182,13.8,u,2,2.0,1.0,127.0
Altona,261 Queen St,-37.8733,144.8147,13.8,h,4,4.0,2.0,695.0
Altona,4/5 Rose St,-37.871,144.8185,13.8,u,2,2.0,1.0,115.0
Altona,1/60 David St,-37.8646,144.827,13.8,u,3,3.0,2.0,230.0
Altona,1A Merritt Ct,-37.8579,144.8181,13.8,t,3,3.0,2.0,197.0
Altona,4/31 Millers Rd,-37.8678,144.8384,13.8,u,2,2.0,1.0,0.0
Altona,111/112 Pier St,-37.8659,144.83100000000005,13.8,u,2,2.0,1.0,0.0
Altona,24 Wren St,-37.8658,144.8155,13.8,h,4,4.0,1.0,745.0
Altona,1/152 Blyth St,-37.8698,144.816,13.8,t,3,3.0,2.0,211.0
Altona,4/57 Blyth St,-37.868,144.8286,13.8,u,3,3.0,2.0,69.0
Altona,164 Maidstone St,-37.8611,144.8114,13.8,h,3,3.0,1.0,625.0
Altona,3/25 Rayner St,-37.8676,144.8202,13.8,u,2,2.0,1.0,168.0
Altona,3/46 Sargood St,-37.8655,144.8299,13.8,u,2,2.0,1.0,137.0
Altona,1/57 Blyth St,-37.868,144.8287,13.8,u,3,3.0,2.0,70.0
Altona,22 Fenfield St,-37.8608,144.8124,13.8,h,3,3.0,1.0,606.0
Altona,5/8 David St,-37.8687,144.8268,13.8,u,2,2.0,2.0,175.0
Altona,1/28 Seves St,-37.8674,144.8375,13.8,h,3,3.0,1.0,363.0
Altona,27 McIntyre Dr,-37.86,144.8245,13.8,h,3,3.0,2.0,534.0
Altona,4 Boyd St,-37.8672,144.817,13.8,h,3,3.0,1.0,724.0
Altona,12 Spear Ct,-37.8583,144.8172,13.8,t,3,3.0,2.0,265.0
Altona,185 Queen St,-37.8699,144.8235,13.8,h,3,3.0,3.0,577.0
Altona,3/20 Mulga St,-37.8684,144.815,13.8,u,3,3.0,2.0,205.0
Altona,51 Millers Rd,-37.8663,144.8387,13.8,h,4,4.0,1.0,797.0
Altona,2/119 Railway St N,-37.8659,144.822,13.8,u,3,3.0,1.0,181.0
Altona,24 McIntyre Dr,-37.8612,144.8247,13.8,h,3,3.0,2.0,529.0
Altona,104 Maidstone St,-37.8653,144.8129,13.8,h,2,2.0,2.0,675.0
Altona,49 Bent St,-37.8651,144.832,13.8,h,3,3.0,1.0,929.0
Altona,5/57 Blyth St,-37.868,144.8285,13.8,u,3,3.0,2.0,70.0
Altona,15 Kookaburra St,-37.871,144.8075,13.8,h,3,3.0,1.0,697.0
Altona,219 Civic Pde,-37.8631,144.8195,13.8,h,3,3.0,1.0,604.0
Altona,3 Curtin Ct,-37.8637,144.8365,13.8,h,4,4.0,2.0,532.0
Altona,2/60 David St,-37.8646,144.8272,13.8,h,2,2.0,1.0,154.0
Altona North,45 Hearn St,-37.8388,144.8567,11.1,h,5,5.0,3.0,592.0
Altona North,4 Knapp St,-37.8291,144.835,11.1,h,3,3.0,1.0,533.0
Altona North,21 Hatherley Gr,-37.8449,144.85,11.1,h,3,3.0,1.0,554.0
Altona North,3/66 Marion St,-37.8351,144.8529,11.1,t,2,2.0,1.0,77.0
Altona North,153 Mills St,-37.8338,144.8562,11.1,h,3,3.0,1.0,655.0
Altona North,33 Carthy St,-37.8284,144.8355,11.1,h,3,3.0,1.0,534.0
Altona North,16 Harris St,-37.8267,144.8368,11.1,h,3,3.0,1.0,540.0
Altona North,1/5 Little St,-37.8379,144.8583,11.1,h,3,3.0,2.0,0.0
Altona North,1/95 Mills St,-37.838,144.8555,11.1,h,3,3.0,1.0,328.0
Altona North,5 Binns St,-37.8294,144.8378,11.1,h,3,3.0,1.0,540.0
Altona North,25 Allan St,-37.8448,144.8529,11.1,h,4,3.0,1.0,559.0
Altona North,1/256 Mason St,-37.8397,144.8602,11.1,t,2,2.0,1.0,252.0
Altona North,21 Allan St,-37.8451,144.8529,11.1,h,4,4.0,1.0,558.0
Altona North,2/36 May St,-37.8337,144.8554,11.1,h,3,3.0,2.0,171.0
Altona North,11 Beevers St,-37.8258,144.8523,11.1,h,3,3.0,1.0,585.0
Altona North,10 Murphy St,-37.8345,144.8444,11.1,h,4,4.0,1.0,851.0
Altona North,16 Beevers St,-37.8254,144.8514,11.1,h,3,3.0,1.0,551.0
Altona North,21 Neal Ct,-37.8327,144.8451,11.1,h,3,3.0,1.0,602.0
Altona North,31 Duosa Rd,-37.8269,144.8455,11.1,h,3,3.0,1.0,740.0
Altona North,252 Millers Rd,-37.8391,144.8467,11.1,h,4,4.0,2.0,315.0
Altona North,1/156 Chambers Rd,-37.8262,144.8443,11.1,h,3,5.0,2.0,276.0
Altona North,2 Gadsden St,-37.8277,144.8385,11.1,h,3,3.0,1.0,531.0
Altona North,24 Hansen St,-37.8382,144.8649,11.1,h,3,3.0,2.0,590.0
Altona North,4 Prismall St,-37.8423,144.8632,11.1,h,3,3.0,1.0,715.0
Altona North,122 McIntosh Rd,-37.8444,144.8491,11.1,h,3,3.0,1.0,561.0
Altona North,35 May St,-37.834,144.8553,11.1,h,2,2.0,1.0,691.0
Altona North,6 Hill St,-37.8318,144.8388,11.1,h,3,3.0,2.0,555.0
Altona North,84 May St,-37.833,144.8494,11.1,h,4,4.0,1.0,708.0
Altona North,155 Chambers Rd,-37.8262,144.8439,11.1,h,4,4.0,1.0,668.0
Altona North,268d Mason St,-37.8393,144.8568,11.1,t,4,4.0,3.0,252.0
Altona North,5 Cresser St,-37.8375,144.8541,11.1,h,4,4.0,1.0,633.0
Altona North,107 McIntosh Rd,-37.8441,144.8505,11.1,h,3,3.0,1.0,557.0
Altona North,10 Knapp St,-37.8285,144.8351,11.1,h,3,3.0,1.0,536.0
Altona North,4/221 Blackshaws Rd,-37.8332,144.8649,11.1,u,2,2.0,1.0,153.0
Armadale,8/19 Mercer Rd,-37.8543,145.0262,6.3,u,2,2.0,1.0,0.0
Armadale,1/42 Adelaide St,-37.8539,145.0284,6.3,u,2,2.0,1.0,861.0
Armadale,14/71 Denbigh Rd,-37.8552,145.016,6.3,u,3,3.0,2.0,0.0
Armadale,4/769 High St,-37.854,145.0135,6.3,t,3,3.0,2.0,101.0
Armadale,7 Llaneast St,-37.8614,145.0274,6.3,h,3,3.0,2.0,296.0
Armadale,9/55 Northcote Rd,-37.853,145.0167,6.3,u,1,1.0,1.0,0.0
Armadale,28 Cambridge St,-37.8592,145.0182,6.3,h,3,3.0,1.0,217.0
Armadale,3/16 Fulton St,-37.8538,145.0127,6.3,u,2,2.0,1.0,0.0
Armadale,3/20 Mercer Rd,-37.8537,145.0267,6.3,t,3,3.0,2.0,0.0
Armadale,1/77 Wattletree Rd,-37.8619,145.0257,6.3,u,2,2.0,1.0,0.0
Armadale,12 Willis St,-37.8574,145.0281,6.3,h,3,3.0,2.0,205.0
Armadale,8/71 Denbigh Rd,-37.8552,145.016,6.3,u,2,2.0,1.0,0.0
Armadale,11/17 Myamyn St,-37.8555,145.0291,6.3,u,2,3.0,2.0,0.0
Armadale,526 Orrong Rd,-37.858,145.0111,6.3,h,4,4.0,2.0,1581.0
Armadale,553 Dandenong Rd,-37.8638,145.0229,6.3,h,5,8.0,2.0,693.0
Armadale,9/19 Mercer Rd,-37.8543,145.0262,6.3,u,3,3.0,2.0,2113.0
Armadale,6/26 Mercer Rd,-37.8528,145.0268,6.3,u,2,2.0,1.0,0.0
Armadale,538a Orrong Rd,-37.8566,145.0116,6.3,t,3,2.0,2.0,246.0
Armadale,18/41 Kooyong Rd,-37.8596,145.0198,6.3,u,2,3.0,1.0,0.0
Armadale,10 William St,-37.8564,145.0228,6.3,h,1,2.0,2.0,144.0
Armadale,15/405 Dandenong Rd,-37.8619,145.0185,6.3,u,1,1.0,1.0,0.0
Armadale,1/2 Armadale St,-37.8605,145.0185,6.3,u,1,1.0,1.0,0.0
Armadale,4/20 Mercer Rd,-37.8537,145.0267,6.3,h,2,2.0,2.0,0.0
Armadale,8/58 Sutherland Rd,-37.8574,145.0174,6.3,u,2,2.0,1.0,0.0
Armadale,40 New St,-37.8543,145.016,6.3,h,2,2.0,1.0,249.0
Armadale,35 Northcote Rd,-37.8536,145.0173,6.3,h,4,4.0,2.0,624.0
Armadale,7/53 Wattletree Rd,-37.8614,145.0222,6.3,u,1,1.0,1.0,881.0
Armadale,791 High St,-37.8545,145.0145,6.3,h,3,3.0,2.0,405.0
Armadale,25 Llaneast St,-37.8613,145.0264,6.3,h,4,4.0,1.0,495.0
Armadale,8/569 Orrong Rd,-37.8537,145.0114,6.3,u,1,1.0,1.0,0.0
Armadale,367 Dandenong Rd,-37.8602,145.013,6.3,h,6,5.0,3.0,1491.0
Armadale,34a Rose St,-37.851,145.0161,6.3,h,2,3.0,1.0,169.0
Armadale,42 Rose St,-37.8511,145.0167,6.3,h,3,3.0,3.0,301.0
Armadale,12 Auburn Gr,-37.8558,145.015,6.3,h,3,3.0,2.0,336.0
Armadale,31 Hume St,-37.8571,145.0224,6.3,h,2,2.0,2.0,207.0
Armadale,10/581 Orrong Rd,-37.8531,145.0115,6.3,u,1,1.0,1.0,0.0
Armadale,7/579 Dandenong Rd,-37.8646,145.0247,6.3,u,2,2.0,1.0,0.0
Armadale,19 Glassford St,-37.8521,145.019,6.3,h,3,3.0,2.0,316.0
Armadale,14 New St,-37.8542,145.0149,6.3,h,3,2.0,1.0,212.0
Armadale,7/501 Orrong Rd,-37.8597,145.0104,6.3,u,3,3.0,2.0,0.0
Armadale,6/51 Armadale St,-37.8573,145.0186,6.3,u,2,2.0,1.0,0.0
Armadale,12/41 Kooyong Rd,-37.8596,145.0198,6.3,u,2,3.0,1.0,0.0
Armadale,63 Denbigh Rd,-37.8559,145.0158,6.3,h,3,3.0,1.0,328.0
Armadale,13/56 Sutherland Rd,-37.8575,145.0174,6.3,u,1,1.0,1.0,0.0
Armadale,7/22 Derby St,-37.8509,145.0203,6.3,u,1,1.0,1.0,0.0
Armadale,10/51 Armadale St,-37.8573,145.0186,6.3,u,2,2.0,1.0,2471.0
Armadale,2/377 Dandenong Rd,-37.8604,145.0147,6.3,u,2,2.0,1.0,1194.0
Armadale,1/14 Denbigh Rd,-37.8593,145.0156,6.3,u,2,2.0,1.0,0.0
Armadale,75 Sutherland Rd,-37.8554,145.0173,6.3,h,3,3.0,1.0,186.0
Armadale,61 Union St,-37.8593,145.0275,6.3,h,4,4.0,3.0,421.0
Armadale,1/403 Dandenong Rd,-37.8618,145.0183,6.3,u,2,1.0,1.0,0.0
Armadale,44 Denbigh Rd,-37.8574,145.016,6.3,h,4,4.0,1.0,709.0
Armadale,44 Hampden Rd,-37.8582,145.0138,6.3,h,4,4.0,3.0,563.0
Armadale,3/769 High St,-37.8542,145.0135,6.3,t,3,3.0,1.0,103.0
Armadale,4 Mercer Rd,-37.8557,145.0264,6.3,h,3,3.0,2.0,617.0
Armadale,17 Kooyong Rd,-37.8611,145.0195,6.3,h,4,4.0,3.0,544.0
Armadale,1/31 Mercer Rd,-37.853,145.0264,6.3,u,3,2.0,1.0,0.0
Armadale,16 Llaneast St,-37.8611,145.0271,6.3,h,5,5.0,2.0,617.0
Armadale,2/532 Orrong Rd,-37.8573,145.0112,6.3,u,2,3.0,1.0,0.0
Armadale,5/555 Orrong Rd,-37.8549,145.0113,6.3,u,1,1.0,1.0,0.0
Armadale,3/50 Denbigh Rd,-37.8568,145.0161,6.3,u,2,2.0,0.0,0.0
Armadale,7/844 Malvern Rd,-37.8503,145.0185,6.3,u,2,2.0,1.0,0.0
Ascot Vale,2/43 Roxburgh St,-37.7756,144.9165,5.9,u,2,3.0,1.0,0.0
Ascot Vale,30 Rothwell St,-37.7777,144.9195,5.9,h,3,3.0,1.0,298.0
Ascot Vale,9/5 Rothwell St,-37.7761,144.9201,5.9,u,2,2.0,1.0,0.0
Ascot Vale,7 Francis St,-37.7777,144.9221,5.9,h,3,3.0,2.0,277.0
Ascot Vale,2/21 Harold St,-37.7736,144.9015,5.9,u,2,2.0,1.0,423.0
Ascot Vale,44 The Parade,-37.7729,144.9179,5.9,h,4,4.0,3.0,478.0
Ascot Vale,97 Walter St,-37.7758,144.9089,5.9,h,3,3.0,1.0,623.0
Ascot Vale,98 Epsom Rd,-37.775,144.9091,5.9,h,3,3.0,2.0,285.0
Ascot Vale,8 Geddes St,-37.7776,144.9142,5.9,h,2,2.0,1.0,214.0
Ascot Vale,75 Maribyrnong Rd,-37.7721,144.9184,5.9,h,6,6.0,3.0,1014.0
Ascot Vale,119 Roseberry St,-37.7745,144.9093,5.9,h,2,2.0,1.0,226.0
Ascot Vale,10 Fenton St,-37.7748,144.929,5.9,h,2,2.0,1.0,269.0
Ascot Vale,10 McCully St,-37.7756,144.9208,5.9,h,3,3.0,1.0,417.0
Ascot Vale,120 Epsom Rd,-37.7759,144.91,5.9,h,3,3.0,1.0,350.0
Ascot Vale,47 Hurtle St,-37.773,144.9049,5.9,h,2,2.0,1.0,330.0
Ascot Vale,63 Kent St,-37.7807,144.9288,5.9,h,2,2.0,1.0,118.0
Ascot Vale,4 The Parade,-37.7731,144.9206,5.9,h,2,2.0,1.0,173.0
Ascot Vale,1/17 Epsom Rd,-37.7718,144.9066,5.9,u,2,2.0,1.0,228.0
Ascot Vale,41 Monash St,-37.7819,144.9064,5.9,h,3,4.0,1.0,594.0
Ascot Vale,2/78 Ormond Rd,-37.7738,144.9345,5.9,h,2,2.0,1.0,0.0
Ascot Vale,83 Roseberry St,-37.7746,144.9112,5.9,h,3,3.0,1.0,317.0
Ascot Vale,51 Francis St,-37.7774,144.9186,5.9,h,2,2.0,1.0,226.0
Ascot Vale,33 Dalgety Dr,-37.7778,144.9065,5.9,h,3,3.0,2.0,229.0
Ascot Vale,12 Mirams St,-37.7766,144.9143,5.9,h,4,4.0,1.0,300.0
